Host,Category
George Carlin,Comedian
Paul Simon,Musician
Rob Reiner,Actor
Candice Bergen,Actor
Robert Klein,Comedian
Lily Tomlin,Actor
Richard Pryor,Comedian
Candice Bergen,Actor
Elliott Gould,Actor
Buck Henry,Actor
Peter Cook & Dudley Moore,Actor
Dick Cavett,Other
Peter Boyle,Actor
Desi Arnaz,Actor
Jill Clayburgh,Actor
Anthony Perkins,Actor
Ron Nessen,Other
Raquel Welch,Actor
Madeline Kahn,Actor
Dyan Cannon,Actor
Buck Henry,Actor
Elliott Gould,Actor
Louise Lasser,Actor
Kris Kristofferson,Musician
Lily Tomlin,Actor
Norman Lear,Other
Eric Idle,Actor
Karen Black,Actor
Steve Martin,Comedian
Buck Henry,Actor
Dick Cavett,Other
Paul Simon,Musician
Jodie Foster,Actor
Candice Bergen,Actor
Ralph Nader,Other
Ruth Gordon,Actor
Fran Tarkenton,Other
Live from Mardi Gras,Other
Steve Martin,Comedian
Sissy Spacek,Actor
Broderick Crawford,Actor
Jack Burns,Comedian
Julian Bond,Other
Elliott Gould,Actor
Eric Idle,Actor
Shelley Duvall,Actor
Buck Henry,Actor
Steve Martin,Comedian
Madeline Kahn,Actor
Hugh Hefner,Other
Charles Grodin,Actor
Ray Charles,Musician
Buck Henry,Actor
Mary Kay Place,Actor
Miskel Spillman,Other
Steve Martin,Comedian
Robert Klein,Comedian
Chevy Chase,Actor
O.J. Simpson,Other
Art Garfunkel,Musician
Jill Clayburgh,Musician
Christopher Lee,Actor
Michael Palin,Actor
Michael Sarrazin,Actor
Steve Martin,Comedian
Richard Dreyfuss,Actor
Buck Henry,Actor
The Rolling Stones,Musician
Fred Willard,Actor
Frank Zappa,Musician
Steve Martin,Comedian
Buck Henry,Actor
Carrie Fisher,Actor
Walter Matthau,Actor
Eric Idle,Actor
Elliott Gould,Actor
Michael Palin,Actor
Cicely Tyson,Actor
Ricky Nelson,Musician
Kate Jackson,Actor
Gary Busey,Actor
Margot Kidder,Actor
Richard Benjamin,Actor
Milton Berle,Actor
Michael Palin,Actor
Maureen Stapleton,Actor
Buck Henry,Actor
Steve Martin,Comedian
Eric Idle,Actor
Bill Russell,Other
Buck Henry,Actor
Bea Arthur,Actor
Howard Hesseman,Actor
Martin Sheen,Actor
Ted Knight,Actor
Teri Garr,Actor
Chevy Chase,Actor
Elliott Gould,Actor
Kirk Douglas,Actor
Rodney Dangerfield,Actor
"Paul Simon, James Taylor & David Sanborn",Musician
"Richard Benjamin, Paula Prentiss",Other
Burt Reynolds,Actor
Strother Martin,Actor
Bob Newhart,Comedian
Steve Martin,Comedian
Buck Henry,Actor
Elliott Gould,Actor
Malcolm McDowell,Actor
Ellen Burstyn,Actor
Jamie Lee Curtis,Actor
David Carradine,Actor
Ray Sharkey,Actor
Karen Black,Actor
Robert Hays,Actor
Sally Kellerman,Actor
Deborah Harry,Musician
Charlene Tilton,Actor
Bill Murray,Actor
Jr. Walker & the All-Stars,Musician
Rod Stewart,Musician
Susan Saint James,Actor
George Kennedy,Actor
Donald Pleasance,Actor
Lauren Hutton,Actor
Bernadette Peters,Actor
Tim Curry,Actor
Bill Murray,Actor
Robert Conrad,Actor
John Madden,Other
James Coburn,Actor
Bruce Dern,Actor
Elizabeth Ashley,Actor
Robert Urich,Actor
Blythe Danner,Actor
Daniel J. Travanti,Actor
Johnny Cash,Musician
Robert Culp,Actor
Danny DeVito,Actor
Olivia Newton-John,Musician
Chevy Chase,Actor
Louis Gossett Jr,Actor
Ron Howard,Other
Howard Hesseman,Actor
Michael Keaton,Actor
Robert Blake,Actor
Drew Barrymore,Actor
The Smothers Brothers,Musician
Eddie Murphy,Actor
Lily Tomlin,Actor
Rick Moranis and Dave Thomas,Actor
Sid Caesar,Actor
Howard Hesseman,Actor
Beau and Jeff Bridges,Actor
Bruce Dern,Actor
Robert Guilaume,Actor
Joan Rivers,Comedian
Susan Saint James,Actor
Stevie Wonder,Musician
Mayor Ed Koch,Other
Brandon Tartikoff,Other
Danny DeVito & Rhea Pearlman,Actor
John Candy,Actor
Betty Thomas,Actor
Teri Garr,Actor
Jerry Lewis,Actor
The Smothers Brothers,Musician
Flip Wilson,Comedian
Father Guido Sarducci,Actor
Michael Palin and his mother,Actor
Don Rickles,Comedian
Robin Williams,Actor
Jamie Lee Curtis,Actor
Edwin Newman,Other
Billy Crystal,Actor
Michael Douglas,Actor
George McGovern,Other
Barry Bostwick,Actor
Billy Crystal,Actor
Thompson Twins,Musician
Bob Uecker,Other
Jesse Jackson,Other
Michael McKean,Actor
George Carlin,Comedian
Ed Asner,Actor
Ed Begley Jr,Actor
Ringo Starr,Musician
Eddie Murphy,Actor
Kathleen Turner,Actor
Roy Scheider,Actor
Alex Karras,Other
Harry Anderson,Actor
Pamela Sue Martin,Actor
SNL Film Festival,Other
Mr. T and Hulk Hogan,Actor
Christopher Reeve,Actor
Howard Cosell,Other
Madonna,Musician
Chevy Chase,Actor
Pee Wee Herman,Comedian
John Lithgow,Actor
Tom Hanks,Actor
Teri Garr,Actor
Harry Dean Stanton,Actor
Dudley Moore,Actor
Ron Reagan,Other
Jerry Hall,Actor
Jay Leno,Other
Griffin Dunne,Actor
George Wendt and Francis Ford Coppola,Other
Oprah Winfrey,Other
Tony Danza,Actor
Catherine Oxenberg and Paul Simon,Other
Jimmy Breslin and Marvin Hagler,Other
Anjelica Huston and Billy Martin,Other
Sigourney Weaver,Actor
Malcolm-Jamal Warner,Actor
Rosanna Arquette,Actor
Sam Kinison,Comedian
Robin Williams,Actor
Chevy Chase,Actor
Steve Guttenberg,Actor
William Shatner,Actor
Walter Payton & Joe Montana,Other
Paul Shaffer,Musician
Bronson Pinchot,Actor
Willie Nelson,Musician
Valerie Bertinelli,Actor
Bill Murray,Actor
Charlton Heston,Actor
John Lithgow,Actor
John Larroquette,Actor
Mark Harmon,Actor
Garry Shandling,Actor
Dennis Hopper,Actor
Steve Martin,Comedian
Sean Penn,Actor
Dabney Coleman,Actor
Robert Mitchum,Actor
Candice Bergen,Actor
Danny DeVito,Actor
Angie Dickinson,Actor
Paul Simon,Musician
Robin Williams,Actor
Carl Weathers,Actor
Justine Bateman,Actor
Tom Hanks,Actor
Judge Reinhold,Actor
Tom Hanks,Actor
Matthew Broderick,Actor
John Larroquette,Actor
Matthew Modine,Actor
Demi Moore,Actor
John Lithgow,Actor
Danny DeVito,Actor
Kevin Kline,Actor
Melanie Griffith,Actor
John Malkovich,Actor
Tony Danza,Actor
Ted Danson,Actor
Leslie Nielsen,Actor
Glenn Close,Actor
Mary Tyler Moore,Actor
Mel Gibson,Actor
Dolly Parton,Musician
Geena Davis,Actor
Wayne Gretzky,Other
Steve Martin,Comedian
Bruce Willis,Actor
Rick Moranis,Actor
Kathleen Turner,Actor
James Woods,Actor
Chris Evert,Other
Woody Harrelson,Actor
John Goodman,Actor
Robert Wagner,Actor
Andie MacDowell,Actor
Ed O'Neill,Actor
Christopher Walken,Actor
Quincy Jones & Co.,Musician
Tom Hanks,Actor
Fred Savage,Actor
Rob Lowe,Actor
Debra Winger,Actor
Corbin Bernsen,Actor
Alec Baldwin,Actor
Andrew Dice Clay,Comedian
Candice Bergen,Actor
Kyle MacLachlan,Actor
Susan Lucci,Actor
George Steinbrenner,Other
Patrick Swayze,Actor
Jimmy Smits,Actor
Dennis Hopper,Actor
John Goodman,Actor
Tom Hanks,Actor
Dennis Quaid,Actor
Joe Mantegna,Actor
Sting,Musician
Kevin Bacon,Actor
Roseanne Barr,Actor
Alec Baldwin,Actor
Michael J. Fox,Actor
Jeremy Irons,Actor
Catherine O'Hara,Actor
Steven Seagal,Actor
Delta Burke,Actor
George Wendt,Actor
Michael Jordan,Other
Jeff Daniels,Actor
Kirstie Alley,Actor
Christian Slater,Actor
Kiefer Sutherland,Actor
Linda Hamilton,Actor
Macaulay Culkin,Actor
Hammer,Musician
Steve Martin,Comedian
Rob Morrow,Actor
Chevy Chase,Actor
Susan Dey,Actor
Jason Priestley,Actor
Roseanne & Tom Arnold,Actor
John Goodman,Actor
Mary Stuart Masterson,Actor
Sharon Stone,Actor
Jerry Seinfeld,Comedian
Tom Hanks,Actor
Woody Harrelson,Actor
Nicolas Cage,Actor
Tim Robbins,Actor
Joe Pesci,Actor
Christopher Walken,Actor
Catherine O'Hara,Actor
Michael Keaton,Actor
Sinbad,Comedian
Tom Arnold,Actor
Glenn Close,Actor
Danny DeVito,Actor
Harvey Keitel,Actor
Luke Perry,Actor
Alec Baldwin,Actor
Bill Murray,Actor
John Goodman,Actor
Miranda Richardson,Actor
Jason Alexander,Actor
Kirstie Alley,Actor
Christina Applegate,Actor
Kevin Kline,Actor
Charles Barkley,Other
Shannen Doherty,Actor
Jeff Goldblum,Actor
John Malkovich,Actor
Christian Slater,Actor
Rosie O'Donnell,Comedian
Nicole Kidman,Actor
Charlton Heston,Actor
Sally Field,Actor
Jason Patric,Actor
Sara Gilbert,Actor
Patrick Stewart,Actor
Alec Baldwin & Kim Basinger,Actor
Martin Lawrence,Actor
